능력단위코드,능력단위명,정의,대분류,중분류,소분류,세분류,지식,기술,태도,검색키워드
2001070206,인공지능 서비스 활용 기획,인공지능 서비스 활용 기획이란 인공지능 서비스 적용 범위를 확대하기위하여 인공지능 서비스 활용방안을 분석하고 비즈니스 모델을 기획하여자산화 계획을 수립하는 능력이다.,정보통신,정보기술,인공지능,인공지능서비스기획,MLOps(Machine learning operation) 관련 지식 | MLOps(Machine learning operation) 관련 지식 | MLOps(Machine learning operation) 관련 지식,고객의 이용 패턴 분석 능력 | 관련 산업에 대한 환경분석 능력 | 분석결과에 따른 상품 출시환경 분석 능력,고객·구매자 특성을 정확히 파악하려는 자세 | 내부 환경 요인이 상품에 미치는 영향에 대한 분석적 자세 | 다양한 활용방법을 사용하고 적극적으로 문제를 해결하려는 자세,인공지능
1504010110,기계 사후 관리 계획,"기계 사후 관리 계획이란 사후 요구사항을 예측하여 품질부적합과 사용자의 불만사항에 대해 대처방안을 계획, 부적합품 관리, 품질향상절차 수립,교육훈련 계획을 수행하는 능력이다.",기계,기계품질관리,기계품질관리,기계품질계획,기계공학 기초 지식 | 기계공학 기초 지식 | 기계공학 기초 지식,교육자료 작성 능력 | 도면 해독 능력 | 도면 해독 능력,객관적으로 자료를 분석하려는 태도 | 객관적으로 자료를 분석하려는 태도 | 기술적 위험에 적극적으로 대비하려는 노력,인공지능
2001070401,인공지능서비스 운영계획 수립,"인공지능서비스 운영계획 수립이란 인공지능서비스의 체계적인 운영을 위하여 인공지능서비스에 필요한 운영관리지침, 운영절차, 운영조직구성, 운영성과관리 계획 등의 운영제반계획을 수립하는 능력이다.",정보통신,정보기술,인공지능,인공지능서비스운영관리,ISO/IEC 20000 국제표준 | ISO/IEC 38500 국제표준 | ITIL(information technology infrastructure library),데이터 분석도구 활용 능력 | 데이터 분석도구 활용 능력 | 명세화 능력,기술의 변화를 긍정적으로 수용하려는 자세 | 법률과 제도 이해를 바탕으로 조직에 적용하려는 자세 | 상세 기술을 주의 깊게 관찰하는 태도,인공지능
1002040310,감정평가가격정보제공 서비스 수행,감정평가가격정보제공 서비스 수행이란 감정평가가격정보 서비스 시스템을 활용하여 관련 환경과 서비스 이용자 요구 사항에 적합한 감정평가가격정보 자료를 제공하는 능력이다.,영업판매,부동산,감정평가,감정평가가격정보제공,가격정보 서비스 시스템의 체계 | 가격정보 시스템 기본 지식 | 감정평가 실무기준,각종 연구보고서 및 통계 분석 능력 | 경쟁사의 가격정보 제공 역량 분석 능력 | 국내·외 관련 사례 및 트렌드 분석 능력,과정과 결과를 겸허히 수용할 수 있는 책임감 | 과정과 결과를 겸허히 수용할 수 있는 책임감 있는 자세 | 관련 자료를 통합하여 이용 가능한 정보를 제공하고자 하는 적극적인자세,인공지능
2001070207,인공지능 서비스 실행계획 수립,"인공지능 서비스 실행계획 수립이란 인공지능 서비스 실행을 위한 조직,인프라, 일정, 소요예산을 계획하고 위험에 대응하기 위한 계획을 수립하는 능력이다.",정보통신,정보기술,인공지능,인공지능서비스기획,"개발 공수 산정 방법론 | 네트워크 장비 구축 지식 | 네트워크 프로토콜, 토폴로지 지식",네트워크 기술동향 분석 능력 | 네트워크 인프라 분석 능력 | 비용 대비 효과를 분석할 수 있는 능력,"객관적인 평가, 분석을 통해 정확히 리스크에 대응을 하려는 자세 | 돌발 상황에 대한 의연한 대처 자세 | 목표를 일정 내에 완수하려는 의지",인공지능
0802011009,3D프린팅 비즈니스 개발,"3D프린팅 비즈니스개발이란 3D프린팅을 적용한 디자인 비즈니스사례를파악하며 제품 개발, 유통 서비스를 연계한 3D프린팅 비즈니스 방안을 기획하는 능력이다.",문화·예술·디자인·방송,디자인,디자인,3D프린팅디자인,3D디자인 비즈니스 모델 | 3D프린팅 서비스와 유통 경로 | 3D프린팅 조사 방법론,3D디자인 비즈니스 동향 파악능력 | 3D디자인 조사 자료에 대한 정리 분석 능력 | 3D프린팅 관련 산업융합 기술,3D프린팅 동향분석 및 해석에 대한 긍정적인 자세 | 3D프린팅디자인 결과물을 비즈니스로 연결하고 하는 적극적인 자세 | 3D프린팅디자인 트렌드 파악을 위한 적극적 자세,인공지능
2001070304,인공지능 데이터 전처리,"인공지능 데이터 전처리란 인공지능 서비스를 위하여 확보된 데이터를 정제, 변환, 통합, 축소, 라벨링, 비식별화를 통해 데이터를 가공하는 능력이다.",정보통신,정보기술,인공지능,인공지능모델링,개인정보활용동의서 작성 방법 | 기술 통계론 | 기술 통계론,개인정보활용동의서 작성 능력 | 데이터 분산기술 | 데이터 유형 변환기술,개인정보보호 문제에 대해 심도 있게 분석하려는 자세 | 데이터 변환 방안을 논리적이고 구체적으로 수립하려는 노력 | 데이터 변환을 개선하려는 의지,인공지능
1701030201,문제 상황 진단,문제 상황 진단이란 기업의 위기를 극복하고 지속성장을 위해 기업현황을파악하고 문제의 원인을 도출하여 신소재 개발의 필요성을 확인하는 능력이다.,화학·바이오,화학·바이오공통,화학제품연구개발,화학신소재개발,,,,인공지능
0502030102,스마트재난정보저장관리,"스마트재난정보저장관리란 클라우드, 빅데이터, 모바일, 인공지능 기술을활용하여 재난예측 활용 목적에 적합하게 데이터를 저장하고 주어진 데이터로부터 재난위험 예측에 필요한 정보를 얻기 위해 데이터의 대조, 분류,집계 등 데이터를 관리하는 능력이다.",법률·경찰·소방·교도·국방,소방방재,스마트재난관리,스마트재난위험예측,DBMS(Data Base Management System) 구성방법 | DBMS 서비스방식에 대한 규칙 | DBMS 환경설정 요소,DBMS 설치프로그램 운용 기술 | DBMS 운용 검증 능력 | 데이터 요구사항 분석능력,다양한 기술을 상호 비교하고 적절한 대안을 제시하는 자세 | 다양한 요구사항을 긍정적으로 수용하려는 자세 | 데이터 마이그레이션 품질에 대한 책임감을 가지는 태도,인공지능
2404020406,자동화 시스템 운용,"자동화 시스템 운용이란 스마트양식 시스템에서 생산성 향상·경영관리효율성 제고·불확실성 배제를 목적으로 센서, 모니터링 기기, 자동제어 기기와 데이터베이스를 활용하여 솔루션별로 자동제어나 원격 제어할 수 있는 시스템을 운용하는 능력이다.",농림어업,수산,양식,스마트양식,모니터링 장비 운용 매뉴얼 | 센서와 전송장치의 운용 적합도·안전성·안정성 평가 지식 | 솔루션별 센서와 계측장치,모니터링 장비 운용 기술 | 센서와 전송장치의 운용 적합도·안전성·안정성 평가 기술 | 솔루션별 센서와 계측장치 운용 기술,관련법령을 철저히 준수하려는 태도 | 섬세하게 운용능력 평가하여 보정하려는 태도 | 적극적으로 대처하려는 자세,인공지능
0502030208,스마트재난관리환류,"스마트재난관리환류는 재난관리업무(예방, 대비, 대응, 복구)에 스마트기술(IoT, 클라우드, 빅데이터, 모바일, AI)이 적용된 결과를 분석하여 환류(Feedback)를 통해 스마트기술기반의 재해저감대책을 수립하고 스마트기술기반재난관리 교육 및 훈련을 수행하는 능력이다.",법률·경찰·소방·교도·국방,소방방재,스마트재난관리,스마트재난관리설계,"스마트 재난관리 훈련에 대한 이해 | 스마트기술기반 재난관리 이해 | 재난관리의 구조적, 비구조적 기능",ICBMA 스마트 재난관리 적용 기술 | 교수 능력 | 교육훈련 평가 능력,경험적 지식 추구 | 기술 습득에 대한 적극적인 태도 | 종합적 분석 노력,인공지능
1511020105,경영 정보 시스템 설치,"경영 정보 시스템 설치란 기업 경영과 관련하여 합리적인 의사결정을 지원하는 정보 시스템을 스마트공장 시스템 구성요소와 유기적으로 연결하기 위해 사전 준비, 시스템 설치, 시험 업무를 수행하는 능력이다.",기계,스마트공장(smart factory),스마트공장(smart factory)설치,스마트공장(smart factory)시스템설치,경영정보시스템의 구조 | 공정 관련 지식 | 내부 업무시스템 기능 정보 및 운영 정책,PC 장비 설정 및 관리 기술 | 경영 정보 시스템 운용 능력 | 관련된 하드웨어 및 소프트웨어의 점검 능력,개선 절차 준수 태도 | 고객 지향적 태도 | 데이터 품질관리에 대한 개선 의지,인공지능
2001090103,스마트물류체계 추진계획 수립,"스마트물류체계 추진계획 수립이란 효과적이고 효율적으로 스마트물류체계를 구축 및 관리할 수 있도록 추진조직, 소요예산, 추진일정, 플랫폼구축과 통합관리 계획을 수립하는 능력이다.",정보통신,정보기술,스마트물류,스마트물류체계기획,"RACI 매트릭스(recommends, approved, consulted, informed matrix) | RAM 매트릭스(responsibility assignment matrix) | 경제적 부가가치(EVA : economic value Added)","RACI 매트릭스(recommends, approved, consulted, informed matrix) 활용능력 | RAM 매트릭스(responsibility assignment matrix) 활용 능력 | 경제적 부가가치(EVA : economic value Added) 분석능력",비용요소를 정확히 파악하고자 하는 태도 | 예산계획 확정을 위해 적극적으로 협의하고 조율하고자 하는 태도 | 유관부서 간의 의사소통을 원활히 하고자 하는 태도,인공지능
1903080404,로봇 감성지능 개발,"로봇 감성지능 개발이란 사용자의 감정, 의도에 따라 상황에 맞는 행동을표현하기 위해서 로봇 감성모델 설계, 사용자 감정 인지 및 로봇 행동을구현하는 능력이다.",전기·전자,전자기기개발,로봇개발,로봇지능개발,로봇 감성모델 관련된 학습 알고리즘 지식 | 로봇 소프트웨어 아키텍처 관련지식 | 사용자-로봇 인터랙션 관련지식,로봇 감성모델을 설계할 수 있는 능력 | 로봇 소프트웨어 아키텍처의 API로부터 입출력을 추출할 수 있는 능력 | 메시지나 SNS로부터 감정 키워드로부터 감정 추출 능력,개발과정을 정리하고 기록하는 태도 | 사용자의 요구사항을 만족시키려는 적극적인 태도 | 새로운 기술을 적용하려는 창의적인 태도,인공지능
0802011210,가상현실 게임 디자인,가상현실 게임 디자인이란 가상현실 게임 콘텐츠를 제작하기 위해 가상공간 내에서 사용자의 입력정보에 따라 다양한 명령에 반응하는 캐릭터의행동표현과 인공지능으로 행동하는 상대적인 가상객체 사이의 상호 작용을 디자인하는 능력이다.,문화·예술·디자인·방송,디자인,디자인,VR콘텐츠디자인,디바이스 특성 | 디바이스 특성 | 실내 건축 이론,3D 메쉬 최적화 기술 | 게임 인터랙션 인터페이스 기술 | 게임 인터랙션 인터페이스 기술,가상공간을 이해하고 표현하려는 자세 | 디자인의 정확성을 위해 주변 환경에 대한 높은 관찰 의지 | 디자인의 정확성을 위해 주변 환경에 대한 높은 관찰 의지,인공지능
0502030108,스마트재난해석,"스마트재난해석이란 스마트기술을 활용하여 수집, 분석, 평가된 재난위험을 해석하기 위하여 인공지능을 활용하고, 재난위험지도를 작성하며 정보를 효과적으로 전달하기 위하여 인포그래픽스를 작성하는 능력이다.",법률·경찰·소방·교도·국방,소방방재,스마트재난관리,스마트재난위험예측,「재난 및 안전관리 기본법」의 재난관리 프로세스 | 비상대처계획의 이해 | 인포그래픽스를 이용한 재난예측 정보 생산을 위한 프로그램 응용에관한 지식,"3차원 그래픽 표현 기술 | 숫자, 문자, 영상 정보 대상 전달체계 구축 | 인포그래픽스 정보처리를 위한 클라우드 컴퓨팅 기술","국가재난관리 정책에 부합하려는 의지 | 소통, 협업, 경쟁, 공유 가치 추구 | 소프트웨어공학, 디지털 정보, 공학, 인문사회과학 융합 정신",인공지능
0803020810,캐릭터 브랜드 라이선싱,캐릭터 브랜드 라이선싱이란 개발된 캐릭터를 라이선시(Licensee)에게 임대하여 상품화를 진행하고 지속적으로 관리하며 이를 통해 로열티를 창출하는 일련의 과정을 진행하는 능력이다.,문화·예술·디자인·방송,문화콘텐츠,문화콘텐츠제작,캐릭터콘텐츠제작,"계약서 양식, 체결에 관련된 지식 | 계약의 형태와 기준에 따라 라이선싱 계약서를 검토하고 작성 할 수있다. | 라이선싱 계약 기준인 기간, 범위, 금액, 라이선시 정보를 바탕으로딜메모(Deal Memo)를 제시 할 수 있다.",계약서 문건의 법률용어 | 계약업체 선별 능력 (우수 협력 파트너 선별) | 라이선싱 관리 시스템 구축 능력,계약서 내용에 대해 꼼꼼하게 숙지 | 다양한 마케팅에 대한 관심 | 문제해결에 대한 적극적인 태도,인공지능
0502030205,스마트재난대응업무설계,"스마트재난대응업무설계는 재난대응 관련 법령, 제도를 파악하고, 재난대응 업무에 스마트기술을 이용하여 스마트 재난대응 계획을 수립하는 능력이다.",법률·경찰·소방·교도·국방,소방방재,스마트재난관리,스마트재난관리설계,스마트기술(ICBMA)에 관한 지식 | 스마트기술(ICBMA)에 관한 지식 | 스마트기술(ICBMA)에 관한 지식,기본적 수리․정보처리 기술 | 기본적 수리·정보처리 기술 | 목적 기반의 재난대응 우선 순위 판단 기술,경험적 지식 추구 | 경험적 지식 추구 | 계획수립 의지,인공지능
2001070403,인공지능서비스 운영환경관리,인공지능서비스 운영환경관리란 인공지능서비스 고도화 반영 및 운영 성과분석과 규제이슈에 대응하고 운영매뉴얼을 관리하여 운영환경 변화에대응하는 능력이다.,정보통신,정보기술,인공지능,인공지능서비스운영관리,규제개선정책에 대한 지식(예: 샌드박스 제도에 대한 지식 등) | 데이터를 분석하기 위한 통계 지식 | 데이터를 수집하는 방법론,경쟁사 성과정보파악 능력 | 규제이슈 대응사례를 수집하고 분석할 수 있는 능력 | 데이터 수집 및 분석 기술,가장 긴급하고 중요한 요구사항을 식별하고자 하는 객관적 자세 | 규제이슈에 대해 관련 부서들과 협업하고자 하는 태도 | 발생된 이슈에 대해 재발방지하고자 하는 의지,인공지능
0502030204,스마트재난대비업무설계,"스마트재난대비업무설계는 재난대비 관련 법령, 제도를 파악하고, 재난대비 업무에 스마트기술을 이용하여 스마트 재난대비 계획을 수립하는 능력이다.",법률·경찰·소방·교도·국방,소방방재,스마트재난관리,스마트재난관리설계,스마트기술(ICBMA)에 관한 지식 | 스마트기술(ICBMA)에 관한 지식 | 재난대비 시나리오 구축 지식,기본적 수리․정보처리 기술 | 기본적 수리·정보처리 기술 | 스마트 재난대비 기술,계획수립 의지 | 공공관리의식 준수 | 목표 실현 의지,인공지능
1903080320,인지지능 소프트웨어 개발,"인지지능 소프트웨어 개발이란 물체, 사람, 환경을 인지하기 위하여 알고리즘을 설계하고,  HRI 지능 소프트웨어를 개발하는 능력이다.",전기·전자,전자기기개발,로봇개발,로봇소프트웨어개발,AI 관련 지식 | AI 관련지식 | HRI에 관련된 지식,HRI지능기반 알고리즘 개발 기술 | HRI지능기반 프로그램구조설계 기술 | 인지지능기반 알고리즘 개발 기술,개발자 간의 원활한 의사소통 태도 | 개발자간의 원활한 의사소통 태도 | 사용자의 요구를 만족시키려는 태도,인공지능
2001070103,인공지능 플랫폼 설계,"인공지능 플랫폼 설계란 인공지능 플랫폼 구현을 위한 인프라, 기능, 인터페이스, 지식화 구현을 설계하는 능력이다.",정보통신,정보기술,인공지능,인공지능플랫폼구축,NoSQL 활용 방법 | 기술적 보안 관련 개념 | 데이터 시각화 방법,개인정보보호 등 데이터 보호 능력 | 내·외부 시스템 연계 능력 | 데이터 수집 능력,다양한 사용자 환경을 수용하는 자세 | 다양한 사용자 환경을 수용하는 자세 | 다양한 의견을 조율하여 결과를 도출하려는 의지,인공지능
2002040108,가상현실 응용프로그래밍,"가상현실 응용프로그래밍이란 가상현실 사용자 경험을 제공하는 콘텐츠를제작하는데 필요한 알고리즘을 개발하고, 사용자와 상호작용할 수 있도록콘텐츠 리소스를 구현하여, 가상현실 플랫폼에 맞는 응용프로그램을 제작하는 능력이다.",정보통신,통신기술,실감형콘텐츠제작,가상현실콘텐츠제작,2D 및 3D 그래픽에 대한 지식 | 가상현실 개발 환경에 대한 지식 | 가상현실 개발 환경에 대한 지식,2D 및 3D 그래픽 리소스 사용 능력 | 2D 및 3D 그래픽 애니메이션 사용 능력 | 3D 공간 장면 구성 사용 능력,공학적 치밀함 | 공학적 치밀함 | 공학적 치밀함,인공지능
0502030206,스마트재난복구업무설계,"스마트재난복구업무설계는 재난복구 관련 법령, 제도를 파악하고, 재난복구 업무에 스마트기술을 이용하여 스마트 재난복구계획을 수립하는 능력이다.",법률·경찰·소방·교도·국방,소방방재,스마트재난관리,스마트재난관리설계,기초 통계학 이론 | 스마트기술(ICBMA)에 관한 지식 | 스마트기술(ICBMA)에 관한 지식,기본적 수리․정보처리 기술 | 기본적 수리·정보처리 기술 | 목적 기반의 재난복구 우선 순위 판단 기술,경험적 지식 추구 | 경험적 지식 추구 | 계획수립 의지,인공지능
2001060503,지능형영상정보처리 알고리즘 분석,"지능형영상정보처리 알고리즘 분석이란 개발할 알고리즘의 역할, 범위를 정의하기 위해 이해관계자로부터 요구사항을 수집·정리해 개발 일정과 절차를 정립하는 능력이다.",정보통신,정보기술,정보보호,영상정보처리,,,,인공지능
0501020204,지식재산 시장성 평가,"지식재산 시장성 평가는 기술이 적용될 제품이 속한 시장의 환경 및 경쟁현황 분석을 통하여 목표 시장 성장성과 적용 제품의 경쟁 우위성 확보정도를 분석하고, 이를 바탕으로 시장 진입 가능성과 시장 진입 후 매출액예측에 필요한 정보를 산출하는 능력이다.",법률·경찰·소방·교도·국방,법률,지식재산관리,지식재산평가·거래,STP 전략 | SWOT 분석 기법 | 경쟁 구조 분석 기법,"매출, 재무 상황 분석 능력 | 목표 시장 세분화 능력 | 산업별 시장 분석 자료 분석 능력",데이터의 객관적인 평가 태도 | 데이터의 사실적인 수집태도 | 세밀한 문서 검토 자세,인공지능
0802011209,가상현실 애니메이션 디자인,가상현실 애니메이션 디자인이란 3D 공간을 구성하고 객체 및 캐릭터를정합하여 사용자 시점 변화에 유기적으로 상호작용할 수 있는 애니메이션을 제작하는 능력이다.,문화·예술·디자인·방송,디자인,디자인,VR콘텐츠디자인,3D 객체의 재질 표현 방법 | 3D 모델링 구현 방법 | 3D 모델링 제작 방법,3D 그래픽 애니메이션 기술 | 3D 모델링 저작도구 활용 기술 | 3D 모델링 저작도구 활용 기술,다양한 시점 변화를 파악하고 대비하려는 노력 | 사용자 인터랙션에 따른 변화로 인하여 발생하는 어지럼증을해소하려는 노력 | 성능 평가에 따른 완성도를 높이려는 의지,인공지능
1901040210,전력 빅데이터 분석 소프트웨어 설계,전력 빅데이터 분석 소프트웨어 설계란 전력소비자의 전력 빅데이터를 분석하고 수요를 예측하여 최적의 에너지 소비 형태로 관리하는 소프트웨어를 설계하는 능력이다.,전기·전자,전기,지능형전력망설비,지능형전력망설비소프트웨어,"CBL 산정 및 수요예측 방법 이론 | 관리시스템(기상청, 한전 등) 연동 | 데이터 처리 방식",데이터베이스(DB) 구축 설계 및 분석 기술 | 데이터베이스(DB) 분석 기술 | 데이터베이스(DB) 분석 기술,안전사항 준수 | 안전사항 준수 | 안전사항 준수,인공지능
0502030107,스마트재난영향평가,"스마트재난영향평가란 재난환경변화에 따른 영향을 파악하기 위하여 스마트재난 위험요소 모델링, 재난피해규모 평가, 사회적․경제적 영향평가, 기술적 재해영향을 평가하는 능력이다.",법률·경찰·소방·교도·국방,소방방재,스마트재난관리,스마트재난위험예측,SNS 정보 이해 | 문제핵심 파악 및 이슈 | 스마트 관련 지식,Casuality Tree 분석 기술 | IoT 정보 분석 기술 | SNS 정보 분석 기술,문제에 대한 호기심과 본질을 파고드는 적극적인 자세 | 문제에 대한 호기심과 본질을 파고드는 적극적인 자세 | 문제에 대한 호기심과 본질을 파고드는 적극적인 자세,인공지능
0502030103,스마트재난전조감지,"스마트재난전조감지란 재난의 징후를 파악하기 위하여 IoT, 빅데이터, 모바일 기술을 활용하여 재난전조감지 계획수립, 재난전조데이터 처리, 재난전조데이터 탐색, 통계기반 재난전조 분석, 텍스트마이닝기반 재난전조 분석 및 재난전조분석을 시각화하는 능력이다.",법률·경찰·소방·교도·국방,소방방재,스마트재난관리,스마트재난위험예측,반복적으로 발생하는 재난과 불특정하게 발생하는 재난에 대한 이해 | 스마트기술을 통하여 모니터링이 가능한 재난데이터 수집에 관한 지식 | 자연적 재난과 사회적 재난의 종류와 재난관리기본법,실시간 ICBMA 적용 및 활용 기술 | 일반적인 계획수립 절차와 방법론 | 재난사고 조사 및 분석 기술,다양한 재난사고의 교훈을 배우려는 자세 | 분석적이고 논리적인 사고 | 스마트 기술을 적시 적소에 활용하려는 자세,인공지능
2001070104,인공지능 플랫폼 인프라 구현,"인공지능 플랫폼 인프라 구현이란 인공지능 플랫폼 구축을 위하여 인프라설계에 따라 하드웨어, 소프트웨어, 네트워크 환경을 구현하는 능력이다.",정보통신,정보기술,인공지능,인공지능플랫폼구축,IT 시스템 네트워크 구성 방법 | IT 시스템 소프트웨어 구성 방법 | IT 시스템 하드웨어 구성 방법,각종 네트워크 테스트 도구 사용 능력 | 각종 시스템 테스트 도구 사용 능력 | 네트워크 설치·환경 구성 능력,관련 신기술 습득을 위한 지속적인 자세 | 관련 신기술 습득을 위한 지속적인 자세 | 관련 신기술 습득을 위한 지속적인 자세,인공지능
2001070107,인공지능 플랫폼 지식화 구현,"인공지능 플랫폼 지식화 구현이란 인공지능 플랫폼을 구축하기 위하여 지식화 구현설계서에 따라 데이터의 수집, 처리, 저장, 지식화를 구현하는 능력이다.",정보통신,정보기술,인공지능,인공지능플랫폼구축,,,,인공지능
2001090208,스마트물류 데이터베이스 구축,"스마트물류 데이터베이스 구축이란, 스마트물류 플랫폼 운영 중 발생하는데이터를 측정, 수집, 저장, 가공, 분석 가능한 환경을 구축하는 능력이다.",정보통신,정보기술,스마트물류,스마트물류플랫폼구축,,,,인공지능
